,band_name,fans,formed,origin,split,style
1057,Silentium,57,1995,Finland,1995,"Gothic,Doom"
1058,Tesla,57,1984,USA,-,Hard rock
1059,Twilightning,57,1998,Finland,1998,"Power,Heavy,Hard rock"
1060,Vanishing Point,57,1997,Australia,-,"Progressive,Symphonic power"
1061,Watchtower,57,1982,USA,1982,Progressive thrash
1062,Wolf,57,1995,Sweden,-,Heavy
1063,Asking Alexandria,56,2008,United Kingdom,2008,"Metalcore,Trancecore"
1064,Dawn Of Solace,56,2006,Finland,2013,"Doom,Gothic"
1065,Dimension Zero,56,1995,Sweden,1995,Gothenburg
1066,Hardcore Superstar,56,1997,Sweden,-,"Glam rock,Glam"
1067,Krallice,56,2007,USA,2007,Black
1068,Mortemia,56,2009,Norway,-,Symphonic gothic
1069,Siebenbürgen,56,1994,Sweden,1994,Melodic black
1070,Avulsed,55,1991,Spain,-,Brutal death
1071,Debauchery,55,2000,Germany,2000,Death
1072,Kronos,55,1994,France,-,"Heavy,Death,Thrash"
1073,Lost Soul,55,1990,Poland,1990,Technical death
1074,Lunar Aurora,55,1994,Germany,2012,Black
1075,Planet X,55,1999,USA,1999,"Progressive,Fusion"
1076,Silent Stream Of Godless Elegy,55,1995,Czech Republic,-,"Doom,Folk"
1077,Soulfallen,55,2003,Finland,2003,"Symphonic,Melodic death"
1078,Twilight Force,55,2011,Sweden,-,"Power,Symphonic"
1079,Winds,55,1998,Norway,1998,"Avantgarde,Progressive,Symphonic"
1080,Axenstar,54,1998,Sweden,-,Power
1081,Black Messiah,54,1994,Germany,1994,"Symphonic black,Pagan folk"
1082,Der Weg Einer Freiheit,54,2009,Germany,-,Black
1083,Eisbrecher,54,2002,Germany,2002,Industrial
1084,Gnaw Their Tongues,54,2005,The Netherlands,-,"Experimental black,Noise,Drone"
1085,Impellitteri,54,1987,USA,1987,Heavy
1086,Judas Iscariot,54,1992,USA,2002,Black
1087,Keldian,54,2005,Norway,2005,"Symphonic power,Adult,Oriented rock"
1088,Menhir,54,1995,Germany,-,Viking black
1089,Myrkur,54,2013,Denmark,2013,Black
1090,Nifelheim,54,1990,Sweden,-,"Black,Speed"
1091,Scars On Broadway,54,2005,USA,2005,"Alternative,Hard rock"
1092,Schammasch,54,2009,Switzerland,-,"Black,Death"
1093,The Devil's Blood,54,2007,The Netherlands,2007,Hard rock
1094,Uneven Structure,54,2008,France,-,"Djent,Ambient"
1095,Wyrd,54,1997,Finland,1997,"Black,Folk"
1096,Cerebral Bore,53,2006,United Kingdom,-,Brutal death
1097,Dark Empire,53,2004,USA,2004,Progressive power
1098,Dragged Into Sunlight,53,2006,United Kingdom,-,"Blackened sludge,Death"
1099,Hanging Garden,53,2004,Finland,2004,Death doom
1100,Hexen,53,2003,USA,-,Thrash
1101,Kingcrow,53,1996,Italy,1996,"Heavy,Progressive"
1102,Mob Rules,53,1994,Germany,-,Power
1103,Quiet Riot,53,1973,USA,1973,"Glam,Hard rock,Heavy"
1104,Subway To Sally,53,1992,Germany,-,"Industrial heavy,Medieval folk"
1105,Wolfmother,53,2004,Australia,2004,Hard rock
1106,!T.O.O.H.!,52,1990,Czech Republic,2013,"Technical death,Progressive grindcore"
1107,Agoraphobic Nosebleed,52,1994,USA,1994,Grindcore
1108,Akphaezya,52,2002,France,-,Avantgarde
1109,Anacrusis,52,1986,USA,1986,Progressive thrash
1110,Cadaveria,52,2001,Italy,-,"Avantgarde,Symphonic"
1111,Deadsoul Tribe,52,2000,Austria,2000,Progressive
1112,Dolorian,52,1997,Finland,-,"Black,Doom"
1113,Glorior Belli,52,2002,France,2002,"Black,Sludge"
1114,Hypno5e,52,2003,France,-,"Experimental progressive,Math,Metalcore"
1115,Silent Force,52,1999,Germany,1999,Progressive power
1116,Teräsbetoni,52,2003,Finland,-,"Power,Hard rock"
1117,The Meads Of Asphodel,52,1998,United Kingdom,1998,Experimental black
1118,The Unguided,52,2010,Sweden,-,Melodic death
1119,Todtgelichter,52,2002,Germany,2002,"Black,Avantgarde"
1120,Torture Killer,52,2002,Finland,-,Death
1121,Unleash The Archers,52,2007,Canada,2007,"Heavy,Power"
1122,Vallendusk,52,2011,Indonesia,-,Atmospheric black
1123,Acrassicauda,51,2001,"Iraq, USA",2001,Thrash
1124,Aina,51,2003,The Netherlands,-,Progressive power
1125,Klimt 1918,51,1999,Italy,1999,"Gothic,Atmospheric rock"
1126,Lyriel,51,2003,Germany,-,Folk
1127,Monolithe,51,2001,France,2001,Doom
1128,Mortician,51,1989,USA,-,Deathgrind
1129,SIG:AR:TYR,51,2003,Canada,2003,Blackened folk
1130,Skiltron,51,2004,Argentina,-,Folk
1131,Azarath,50,1998,Poland,1998,Blackened death
1132,Chrome Division,50,2004,Norway,-,Heavy
1133,DoomSword,50,1997,Italy,1997,Doom
1134,Folkearth,50,2004,Lithuania,-,Folk
1135,Indukti,50,2001,Poland,2001,"Progressive,Progressive rock"
1136,Kontinuum,50,2001,Iceland,-,"Death doom,Post-metal"
1137,Luca Turilli's Dreamquest,50,2005,Italy,2005,Electronic symphonic
1138,Nagelfar,50,1993,Germany,2002,Black
1139,Pagan Altar,50,1978,United Kingdom,1978,Doom
1140,ShamRain,50,2000,Finland,-,Gothic
1141,Slugdge,50,2012,United Kingdom,2012,"Blackened death,Sludge"
1142,The Duskfall,50,1999,Sweden,-,Melodic death
1143,Triosphere,50,2004,Norway,2004,"Progressive,Power"
1144,Acid Drinkers,49,1986,Poland,-,"Crossover thrash,Groove thrash"
1145,Black Majesty,49,2002,Australia,2002,Power
1146,Cloudkicker,49,2005,USA,-,"Progressive,Instrumental"
1147,Dead Congregation,49,2004,Greece,2004,Death
1148,Demonical,49,2006,Sweden,-,Death
1149,Manticora,49,1996,Denmark,1996,Progressive power
1150,Metalium,49,1999,Germany,2011,Power
1151,Ov Hell,49,2009,Norway,2009,Black
1152,Tank,49,1980,United Kingdom,-,"New wave of british heavy,Heavy"
1153,Tengger Cavalry,49,2010,China,2010,"Melodic death,Folk"
1154,Abominable Putridity,48,2003,Russia,-,Brutal death
1155,Alkonost,48,1995,Russia,1995,Pagan folk
1156,Arsames,48,2002,Iran,-,"Death,Thrash"
1157,Autumn,48,1995,The Netherlands,1995,"Gothic,Symphonic rock,Symphonic"
1158,Disembowelment,48,1989,Australia,1993,Death doom
1159,Dragonlord,48,2000,USA,2000,Symphonic black
1160,Ephel Duath,48,1998,Italy,2014,"Progressive black,Avantgarde"
1161,Fantômas,48,1998,USA,1998,Avantgarde
1162,Jon Oliva's Pain,48,2003,USA,-,Progressive
1163,Kotipelto,48,2002,Finland,2002,Power
1164,Macbeth,48,1995,Italy,-,Gothic
1165,Magica,48,2002,Romania,2002,Symphonic power
1166,Majesty,48,1997,Germany,-,"Heavy,Power"
1167,Mortal Sin,48,1985,Australia,1985,Thrash
1168,Skyharbor,48,2009,India,-,"Progressive math,Djent"
1169,Sleepytime Gorilla Museum,48,1999,USA,1999,"Avantgarde,Avantgarde rock"
1170,The Berzerker,48,1995,Australia,2010,"Industrial grindcore,Death"
1171,Becoming The Archetype,47,1999,USA,1999,Progressive metalcore
1172,Cancer,47,1987,United Kingdom,-,"Death,Thrash"
1173,Chelsea Grin,47,2007,USA,2007,Deathcore
1174,Entrails,47,1990,Sweden,-,Death
1175,Lux Occulta,47,1994,Poland,1994,"Atmospheric black,Avantgarde black,Extreme avantgarde"
1176,Noctem,47,2001,Spain,-,"Melodic black,Death"
1177,Ophis,47,2001,Germany,2001,Death doom
1178,Skull Fist,47,2006,Canada,-,"Heavy,Speed"
1179,Tourniquet,47,1990,USA,1990,Thrash
1180,Tracedawn,47,2005,Finland,-,Melodic death
1181,Aeternus,46,1993,Norway,1993,Blackened death
1182,Aghora,46,1995,USA,-,Progressive
1183,Alghazanth,46,1995,Finland,1995,Symphonic black
1184,Anterior,46,2003,United Kingdom,2012,Metalcore
1185,Arjen Anthony Lucassen,46,1980,The Netherlands,1980,Progressive rock
1186,Dark Suns,46,1997,Germany,-,"Progressive death,Extreme progressive,Progressive,Progressive rock"
1187,Imperium Dekadenz,46,2004,Germany,2004,Black
1188,Lock Up,46,1998,United Kingdom,-,"Death,Grindcore"
1189,Miseration,46,2006,Sweden,2006,Death
1190,Pensées Nocturnes,46,2009,France,-,"Depressive black,Neoclassical"
1191,Raunchy,46,1994,Denmark,1994,"Alternative,Industrial,Melodic death"
1192,ReinXeed,46,2002,Sweden,-,Power
1193,Sulphur Aeon,46,2010,Germany,2010,Death
1194,The Man-Eating Tree,46,2009,Finland,-,Suomi
1195,Thy Majestie,46,1998,Italy,1998,Symphonic power
1196,Transcending Bizarre?,46,2000,Greece,-,"Avantgarde,Symphonic black"
1197,Ved Buens Ende,46,1994,Norway,1994,"Black,Avantgarde"
1198,Warlord,46,1980,USA,-,Heavy
1199,Ava Inferi,45,2005,Portugal,2005,Gothic doom
1200,Before The Rain,45,1997,Portugal,-,Death doom
1201,ETHS,45,1999,France,1999,"Nu,Metalcore"
1202,Euphoreon,45,2009,New Zealand,-,Extreme power
1203,Extol,45,1993,Norway,1993,"Progressive death,Extreme progressive"
1204,Feared,45,2007,Sweden,-,Progressive death
1205,Harakiri For The Sky,45,2011,Austria,2011,"Black,Post-metal"
1206,Impending Doom,45,2005,USA,-,Deathcore
1207,Lord Mantis,45,2008,USA,2008,Blackened sludge
1208,Macabre,45,1985,USA,-,"Grindcore,Death"
1209,Mutiny Within,45,2002,USA,2002,"Progressive metalcore,Extreme power"
1210,Pink Cream 69,45,1987,Germany,-,"Melodic hard rock,Heavy"
1211,Repulsion,45,1985,USA,1985,Grindcore
1212,Rishloo,45,2002,USA,-,"Alternative,Progressive"
1213,Timeless Miracle,45,2001,Sweden,2001,Power
1214,Universum,45,2006,Australia,-,Gothenburg
1215,Archgoat,44,1989,Finland,1989,"Black,Death"
1216,Archspire,44,2007,Canada,-,Technical death
1217,Disgorge,44,1992,USA,1992,Brutal death
1218,Engel,44,2004,Sweden,-,Modern gothenburg
1219,Entombed A.D.,44,2014,Sweden,2014,Death
1220,Hannes Grossmann,44,2013,Germany,-,"Progressive death,Technical death"
1221,Impaled,44,1997,USA,1997,"Deathgrind,Goregrind ,Death"
1222,Lindemann,44,2015,Germany,-,Industrial
1223,Shylmagoghnar,44,2004,The Netherlands,2004,"Atmospheric black,Progressive black,Melodic death"
1224,The Old Dead Tree,44,1997,France,-,Gothic
1225,Waylander,44,1993,United Kingdom,1993,Celtic folk
1226,Zero Hour,44,1993,USA,2008,Progressive
1227,Abyssal,43,2011,United Kingdom,2011,Blackened death
1228,Amenra,43,2003,Belgium,-,"Doom,Sludge,Hardcore"
1229,Antestor,43,1990,Norway,1990,"Death doom,Black,Symphonic black"
1230,Ataraxie,43,2000,France,-,"Death,Funeral doom"
1231,Black Tusk,43,2005,USA,2005,"Sludge,Hardcore,Punk"
1232,Deceased,43,1985,USA,-,"Death,Thrash,Heavy"
1233,Dionysus,43,1999,Sweden,1999,Melodic power
1234,Elysian Blaze,43,2003,Australia,-,"Atmospheric black,Funeral doom"
1235,Enthrope,43,2006,Finland,2006,Melodic death
1236,Horrendous,43,2009,USA,-,Death
1237,Imperia,43,2003,Norway,2003,"Symphonic,Gothic"
1238,Infestus,43,2003,Germany,-,Black
1239,Jolly,43,2008,USA,2008,Progressive
1240,Kromlek,43,2004,Germany,2012,Pagan folk
1241,Lost Society,43,2010,Finland,2010,Thrash
1242,Master,43,1983,USA,-,Death
1243,Morgana Lefay,43,1986,Sweden,1986,Power
1244,Sacramentum,43,1990,Sweden,2001,"Black,Death"
1245,Skindred,43,1999,United Kingdom,1999,"Nu,Alternative,Ragga"
1246,Starkill,43,2012,USA,-,Melodic death
1247,Virus,43,2000,Norway,2000,Avantgarde
1248,Atrocity,42,1985,Germany,-,"Death,Gothic industrial"
1249,Borealis,42,2005,Canada,2005,Power
1250,Cancer Bats,42,2004,Canada,-,"Hardcore,Metalcore,Punk"
1251,Charred Walls Of The Damned,42,2009,USA,2009,"Us power,Thrash"
1252,Clawfinger,42,1990,Sweden,-,"Alternative,Nu"
1253,Crimson Shadows,42,2006,Canada,2006,Extreme power
1254,Degradead,42,2006,Sweden,-,Gothenburg
1255,Demonic Resurrection,42,2000,India,2000,"Death,Symphonic,Blackened death"
1256,Echoes Of Eternity,42,2005,USA,-,Symphonic progressive
1257,Evocation,42,1991,Sweden,1991,Death
1258,Galadriel,42,1995,Slovak Republic,-,Symphonic doom
1259,Helrunar,42,2001,Germany,2001,Black
1260,Hooded Menace,42,2007,Finland,-,Death doom
1261,Ikuinen Kaamos,42,1997,Finland,1997,"Black,Death doom,Progressive death"
1262,Kat,42,1979,Poland,-,"Heavy,Speed,Thrash"
1263,Klone,42,1999,France,1999,"Alternative,Progressive"
1264,Magic Kingdom,42,1998,Belgium,-,Power
1265,Maximum The Hormone,42,1998,Japan,1998,"Alternative,Hardcore,Punk"
1266,Mouth Of The Architect,42,2003,USA,-,"Atmospheric sludge,Post-metal"
1267,Nadja,42,2002,Canada,2002,"Ambient,Drone ,Doom"
1268,Nocte Obducta,42,1995,Germany,-,"Black,Progressive black,Avantgarde black"
1269,Otyg,42,1995,Sweden,1995,Folk
1270,Setherial,42,1993,Sweden,-,Black
1271,Skogen,42,2009,Sweden,2009,Black
1272,SOiL,42,1997,USA,-,"Hard rock,Grunge"
1273,Timo Tolkki's Avalon,42,2012,Finland,2012,"Power,Symphonic"
1274,Unanimated,42,1988,Sweden,-,Melodic death
1275,Vicious Rumors,42,1980,USA,1980,Us power
1276,36 Crazyfists,41,1994,USA,-,"Alternative,Metalcore,Melodic metalcore"
1277,Acid Witch,41,2007,USA,2007,Death doom
1278,Carnivore,41,1982,USA,2010,"Crossover thrash,Hardcore,Punk"
1279,Craft,41,1994,Sweden,1994,Black
1280,Dark Forest,41,2003,Canada,-,Viking black
1281,Darkestrah,41,1999,"Kyrgyzstan, Germany",1999,Pagan black
1282,Excalion,41,2000,Finland,-,Power
1283,Fleshcrawl,41,1987,Germany,1987,Death
1284,Heljareyga,41,2009,Faroe Islands,-,Progressive
1285,Mithras,41,1998,United Kingdom,1998,"Atmospheric death,Brutal death"
1286,Necrophagia,41,1983,USA,-,Death
1287,Pathology,41,2006,USA,2006,Brutal death
1288,Peccatum,41,1998,Norway,2006,Avantgarde
1289,Saint Deamon,41,2006,Sweden,2006,"Heavy,Power"
1290,Saltatio Mortis,41,2000,Germany,-,Medieval folk
1291,Suspyre,41,2001,USA,2001,Progressive
1292,Taranis,41,1999,Hungary,2013,"Symphonic black,Progressive"
1293,Trepalium,41,2000,France,2000,Death
1294,A Pale Horse Named Death,40,2011,USA,-,"Doom,Gothic"
1295,Ablaze In Hatred,40,2004,Finland,2004,"Melodic death,Doom"
1296,Aetherian,40,2013,Greece,-,Melodic death
1297,Almôra,40,2001,Turkey,2001,"Power,Folk"
1298,Dreamshade,40,2006,Switzerland,-,Melodic death
1299,Dredg,40,1993,USA,1993,"Alternative,Progressive rock"
1300,Gwydion,40,1995,Portugal,-,Viking folk
1301,Huntress,40,2009,USA,2009,Heavy
1302,Inborn Suffering,40,2002,France,-,"Death,Doom"
1303,Leverage,40,2004,Finland,2004,"Symphonic power,Progressive heavy"
1304,Man Must Die,40,2002,United Kingdom,-,Technical death
1305,Mandragora Scream,40,1997,Italy,1997,Gothic
1306,Mokoma,40,1996,Finland,-,"Grunge rock,Thrash"
1307,Mortal Love,40,2000,Norway,2000,Gothic
1308,Mortiis,40,1993,Norway,-,"Ambient,Darkwave,Gothic industrial"
1309,Sunset In The 12th House,40,2011,Romania,2011,"Post-metal,Post-rock,Psychedelic rock"
1310,Warrant,40,1984,USA,-,Hard rock
1311,Assassin,39,1982,Germany,1982,Thrash
1312,Azaghal,39,1995,Finland,-,Black
1313,Brutality,39,1986,USA,1986,Death
1314,Budgie,39,1967,United Kingdom,-,"Hard rock,Heavy,Progressive rock"
1315,Cauldron,39,2006,Canada,2006,Heavy
1316,Demigod,39,1990,Finland,2008,Death
1317,Dissona,39,2005,USA,2005,"Progressive,Avantgarde"
1318,Ixion,39,2004,France,-,Atmospheric doom
1319,Katra,39,2006,Finland,2006,Symphonic
1320,Nomans Land,39,1996,Russia,-,"Doom,Viking folk,Viking black"
1321,Ondskapt,39,2000,Sweden,2000,Black
1322,Rudra,39,1992,Singapore,-,"Death,Thrash"
1323,Shattered Hope,39,2002,Greece,2002,Death doom
1324,Spastic Ink,39,1993,USA,-,"Progressive,Instrumental"
1325,Wormed,39,1998,Spain,1998,"Brutal death,Grindcore"
1326,Aborym,38,1991,Italy,-,Industrial black
1327,Belenos,38,1995,France,1995,Pagan black
1328,Church Of Misery,38,1995,Japan,-,"Doom,Stoner"
1329,Cirith Ungol,38,1972,USA,1972,"Heavy,Doom"
1330,Crystal Viper,38,2003,Poland,-,Heavy
1331,Darkwell,38,1999,Austria,1999,Gothic
1332,Destinity,38,1996,France,-,"Symphonic black,Melodic death"
1333,Dismal Euphony,38,1992,Norway,1992,"Death,Melodic black"
1334,Divinefire,38,2004,Sweden,-,Power
1335,Domine,38,1983,Italy,1983,Power
1336,Falls Of Rauros,38,2005,USA,-,"Atmospheric black,Neofolk"
1337,Gates Of Ishtar,38,1992,Sweden,1992,Melodic death
1338,Girlschool,38,1975,United Kingdom,-,"New wave of british heavy,Heavy"
1339,Gorgasm,38,1996,USA,1996,Brutal death
1340,Hecate Enthroned,38,1993,United Kingdom,-,"Symphonic black,Blackened death,Melodic black"
1341,Intervals,38,2011,Canada,2011,Progressive
1342,Lita Ford,38,1979,USA,-,"Hard rock,Heavy"
1343,Luna Mortis,38,2008,USA,2008,Melodic death
1344,Morgul,38,1991,Norway,-,Black
1345,Outworld,38,1997,USA,1997,Progressive power
1346,Pomegranate Tiger,38,2008,Canada,-,"Progressive,Instrumental"
1347,Seven Kingdoms,38,2006,USA,2006,Power
1348,Striker,38,2007,Canada,-,"Thrash,Speed"
1349,Uncle Acid & The Deadbeats,38,2009,United Kingdom,2009,"Doom,Psychedelic rock"
1350,Varathron,38,1988,Greece,-,Black
1351,Wormrot,38,2007,Singapore,2007,Grindcore
1352,Yearning,38,1994,Finland,2010,"Symphonic gothic,Atmospheric doom"
1353,Adorned Brood,37,1993,Germany,1993,"Folk,Black"
1354,Ancient Wisdom,37,1992,Sweden,-,Atmospheric black
1355,Burst,37,1993,Sweden,1993,"Progressive metalcore,Hardcore,Post-hardcore ,Post-metal,Progressive sludge"
1356,Demonoid,37,2002,Sweden,-,"Death,Thrash"
1357,Detonation,37,1997,The Netherlands,1997,"Melodic death,Thrash"
1358,Downfall Of Nur,37,2013,Argentina,-,"Atmospheric black,Folk"
1359,Grip Inc.,37,1993,USA,1993,Thrash
1360,Katalepsy,37,2003,Russia,-,Brutal death
1361,Khors,37,2004,Ukraine,2004,Black
1362,Mael Mórdha,37,1998,Ireland,-,Celtic doom
1363,Omen,37,1983,USA,1983,"Heavy,Us power"
1364,On Thorns I Lay,37,1992,Greece,-,"Gothic,Death doom,Doom"
1365,Progenie Terrestre Pura,37,2009,Italy,2009,"Atmospheric black,Industrial black"
1366,Pungent Stench,37,1988,Austria,2007,Death
1367,Steel Attack,37,1995,Sweden,1995,"Heavy,Power"
1368,Superjoint Ritual,37,1993,USA,2004,Sludge
1369,Torchbearer,37,2003,Sweden,2003,"Blackened death,Thrash"
1370,Viikate,37,1996,Finland,-,Melodic heavy
1371,Waltari,37,1986,Finland,1986,"Progressive thrash,Avantgarde,Alternative,Symphonic death,Industrial"
1372,Æther Realm,36,2010,USA,-,"Melodic death,Folk"
1373,...And Oceans,36,1995,Finland,1995,"Symphonic black,Industrial"
1374,Agruss,36,2009,Ukraine,-,"Atmospheric black,Death"
1375,Anal Cunt,36,1988,USA,1988,"Grindcore,Noisecore"
1376,Aquaria,36,1999,Brazil,-,Symphonic power
1377,Arena,36,1995,United Kingdom,1995,Progressive
1378,Broken Hope,36,1988,USA,-,"Death,Goregrind"
1379,Chimp Spanner,36,2004,United Kingdom,2004,"Progressive,Djent,Instrumental"
1380,Crisix,36,2008,Spain,-,Thrash
1381,Draugnim,36,1999,Finland,1999,Pagan black
1382,Fueled By Fire,36,2002,USA,-,Thrash
1383,Hammers Of Misfortune,36,1998,USA,1998,Progressive
1384,Khold,36,2000,Norway,-,Black
1385,Krampus,36,2009,Italy,2009,"Folk,Melodic death"
1386,Krux,36,2002,Sweden,-,Doom
1387,Lunarsea,36,2003,Italy,2003,Melodic death
1388,Mitochondrion,36,2003,Canada,-,"Progressive death,Blackened death"
1389,Monuments,36,2006,United Kingdom,2006,"Progressive math,Djent"
1390,Mortification,36,1990,Australia,-,Death
1391,Nader Sadek,36,2011,USA,2011,Death
1392,Nightmare,36,1979,France,-,"Heavy,Symphonic power"
1393,Paul Wardingham,36,2010,Australia,2010,Progressive math
1394,Protector,36,1986,Germany,-,"Death,Thrash"
1395,Putrid Pile,36,2000,USA,2000,Brutal death
1396,Times Of Grace,36,2007,USA,-,Melodic metalcore
1397,Tombs,36,2007,USA,2007,"Black,Sludge"
1398,Trick Or Treat,36,2002,Italy,-,Power
1399,Tyranny,36,2001,Finland,2001,Funeral doom
1400,Vehemence,36,1997,USA,-,Technical death
1401,Aesma Daeva,35,1998,USA,1998,Symphonic
1402,Altaria,35,1999,Finland,2016,Power
1403,Chevelle,35,1995,USA,1995,"Alternative,Hard rock"
1404,Dirge,35,1994,France,-,"Sludge,Industrial,Atmospheric sludge,Doom"
1405,Estradasphere,35,1998,USA,1998,"Avantgarde,Fusion"
1406,Evereve,35,1993,Germany,-,Atmospheric gothic
1407,Fferyllt,35,2003,Russia,2003,Folk
1408,Inferi,35,2006,USA,-,"Melodic death,Technical death"
1409,Kahtmayan,35,1998,Iran,1998,"Progressive,Thrash,Instrumental"
1410,Kimaera,35,2000,Lebanon,-,Death doom
1411,Korzus,35,1983,Brazil,1983,Thrash
1412,Minsk,35,2002,USA,-,Post-metal
1413,Noekk,35,2004,Germany,2004,Progressive doom
1414,Nyktalgia,35,2001,Germany,2008,Depressive black
1415,Odious Mortem,35,1998,USA,1998,Technical death
1416,Orchid,35,2007,USA,-,Doom
1417,Pan.thy.monium,35,1990,Sweden,1990,"Avantgarde,Progressive death"
1418,Pro-Pain,35,1992,USA,-,"Crossover thrash,Hardcore"
1419,Spectral Lore,35,2005,Greece,2005,"Atmospheric black,Dark ambient"
1420,Steelwing,35,2009,Sweden,-,Heavy
1421,Subsignal,35,2007,Germany,2007,Progressive
1422,Subterranean Masquerade,35,1997,,-,"Progressive,Psychedelic rock"
1423,Walls Of Jericho,35,1998,USA,1998,Metalcore
1424,Abnormality,34,2005,USA,-,"Brutal death,Technical death"
1425,Ambeon,34,2001,The Netherlands,2001,"Progressive,Ambient"
1426,Arafel,34,1997,Israel,-,Melodic black
1427,Ashes Of Ares,34,2012,USA,2012,Heavy
1428,Ashes You Leave,34,1995,Croatia,-,"Doom,Gothic doom"
1429,Atrophy,34,1986,USA,1986,Thrash
1430,Dawn Of Demise,34,2003,Denmark,-,Death
1431,Emptiness,34,1998,Belgium,1998,Blackened death
1432,Ghost Bath,34,2012,USA,-,"Depressive black,Post-metal"
1433,Menace Ruine,34,2006,Canada,2006,"Atmospheric black,Drone doom,Neofolk,Noise"
1434,Prostitute Disfigurement,34,2000,The Netherlands,-,Brutal death
1435,Pythia,34,2007,United Kingdom,2007,Symphonic power
1436,Sadist,34,1991,Italy,-,Progressive death
1437,Shaolin Death Squad,34,2001,USA,2001,"Progressive,Avantgarde"
1438,Storm,34,1993,Norway,1995,Blackened folk
1439,Tad Morose,34,1991,Sweden,1991,Progressive power
1440,Torture Squad,34,1990,Brazil,-,"Death,Thrash"
1441,Tygers Of Pan Tang,34,1978,United Kingdom,1978,"New wave of british heavy,Heavy"
1442,White Skull,34,1988,Italy,-,Power
1443,Acid King,33,1993,USA,1993,Stoner
1444,Age Of Silence,33,2004,Norway,-,Avantgarde
1445,Antaeus,33,1994,France,1994,Black
1446,Aosoth,33,2002,France,-,Black
1447,Artrosis,33,1995,Poland,1995,Gothic
1448,Beyond The Black,33,2014,Germany,-,Symphonic
1449,Butterfly Temple,33,1995,Russia,1995,Pagan folk
1450,Callisto,33,2001,Finland,-,Post-metal
1451,Eye Of Solitude,33,2010,United Kingdom,2010,Death doom
1452,Falchion,33,2002,Finland,2009,"Melodic death,Folk"
1453,Fjoergyn,33,2003,Germany,2003,"Folk,Symphonic"
1454,Funeralium,33,2003,France,-,Funeral doom
1455,InnerWish,33,1995,Greece,1995,Power
1456,Kalevala,33,2007,Russia,-,Folk
1457,Life Of Agony,33,1989,USA,1989,"Hardcore,Alternative,Grunge"
1458,Loits,33,1996,Estonia,-,Black
1459,Manes,33,1993,Norway,1993,"Black,Electro avantgarde"
1460,Misþyrming,33,2013,Iceland,-,Black
1461,Morgion,33,1990,USA,1990,"Death,Doom"
1462,Obsidian Kingdom,33,2005,Spain,-,Extreme progressive
1463,Olympos Mons,33,2002,Finland,2002,Power
1464,Slaughter,33,1984,Canada,1990,"Death,Thrash"
1465,Spineshank,33,1996,USA,1996,"Industrial,Nu"
1466,Sunburst,33,2010,Greece,-,"Progressive,Power"
1467,The 11th Hour,33,2008,The Netherlands,2008,Doom
1468,The Exploited,33,1979,United Kingdom,-,"Hardcore,Crossover thrash,Punk"
1469,Thergothon,33,1990,Finland,1990,Funeral doom
1470,Torche,33,2004,USA,-,"Stoner,Sludge"
1471,Viathyn,33,2006,Canada,2006,Progressive power
1472,Weeping Silence,33,1998,Malta,-,"Gothic,Doom"
1473,Whyzdom,33,2007,France,2007,Symphonic
1474,Ásmegin,32,1998,Norway,-,Viking folk
1475,Arthemesia,32,1994,Finland,1994,Melodic black
1476,Botanist,32,2009,USA,-,Experimental black
1477,Coffins,32,1996,Japan,1996,Death
1478,Crashdïet,32,2000,Sweden,-,Glam
1479,Cryptic Wintermoon,32,1993,Germany,1993,"Symphonic black,Thrash"
1480,Dawn Of Destiny,32,2005,Germany,-,Power
1481,Deals Death,32,2008,Sweden,2008,Gothenburg
1482,Elder,32,2006,USA,-,"Psychedelic rock,Stoner"
1483,Enslavement Of Beauty,32,1995,Norway,1995,"Melodic black,Gothic"
1484,Ghoul,32,2001,USA,-,"Death,Thrash"
1485,Hamferð,32,2008,Faroe Islands,2008,Doom
1486,Heavens Gate,32,1987,Germany,1999,Heavy
1487,Megaherz,32,1993,Germany,1993,"Industrial,Alternative"
1488,Michael Angelo Batio,32,1993,USA,-,"Neoclassical heavy,Instrumental hard rock"
1489,Nanowar Of Steel,32,2003,Italy,2003,"Heavy,Power"
1490,Narnia,32,1996,Sweden,-,Power
1491,Native Construct,32,2011,USA,2011,Progressive
1492,Nox Aurea,32,2005,Sweden,-,"Melodic death,Doom"
1493,Raventale,32,2005,Ukraine,2005,"Atmospheric black,Doom"
1494,Sinner,32,1980,Germany,-,Heavy
1495,SpellBlast,32,1999,Italy,1999,"Folk,Power"
1496,Spiral Architect,32,1993,Norway,-,Technical progressive
1497,Three,32,1994,USA,1994,Progressive rock
1498,Windhand,32,2008,USA,-,"Doom,Stoner"
1499,Amoral,31,1997,Finland,1997,"Technical death,Power,Death,Thrash"
1500,Blind Stare,31,1999,Finland,-,"Melodic death,Extreme power"
1501,Coffinworm,31,2007,USA,2007,"Blackened sludge,Doom"
1502,Crucified Barbara,31,1998,Sweden,2016,"Hard rock,Heavy"
1503,Desultory,31,1989,Sweden,1989,Death
1504,Devian,31,2006,Sweden,2011,"Black,Death"
1505,Dreadnought,31,2012,USA,2012,"Black,Folk,Progressive"
1506,Endstille,31,2000,Germany,-,Black
1507,Faithful Darkness,31,2004,Sweden,2004,Gothenburg
1508,Forest Silence,31,1997,Hungary,-,"Dark,Ambient,Atmospheric black"
1509,Helheim,31,1992,Norway,1992,Viking black
